기간	자치구	동	합계	합계	합계	합계	합계	개인	개인	회사법인	회사법인	회사이외의 법인	회사이외의 법인	비법인단체	비법인단체
기간	자치구	동	사업체수	사업체수	종사자수	종사자수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
기간	자치구	동	사업체수	여성대표자	계	남	여	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수	사업체수	종사자수
2017	서대문구	남가좌2동	1,243	481	4,877	2,410	2,467	1,111	2,201	68	529	27	2,017	37	130
2017	서대문구	북가좌1동	665	219	3,407	2,204	1,203	560	1,191	70	1,734	11	327	24	155
2017	서대문구	북가좌2동	2,381	637	6,903	3,961	2,942	2,186	4,007	104	2,278	32	269	59	349
2017	서대문구	충현동	1,825	632	24,126	14,238	9,888	1,090	2,917	521	15,337	150	5,515	64	357
2017	서대문구	북아현동	864	313	2,677	1,157	1,520	779	1,604	35	177	30	780	20	116
2017	서대문구	신촌동	3,720	1,533	35,054	14,620	20,434	2,806	8,897	684	7,203	146	18,527	84	427
2017	서대문구	연희동	2,318	875	10,892	5,739	5,153	1,853	4,180	316	3,249	70	3,074	79	389
2017	마포구	소계	36,325	12,245	247,999	134,707	113,292	25,508	67,555	9,022	151,117	973	24,262	822	5,065
2017	마포구	용강동	2,550	790	18,504	10,424	8,080	1,381	3,659	988	13,050	120	1,510	61	285
2017	마포구	대흥동	1,547	570	9,660	4,488	5,172	1,163	3,686	268	2,667	68	3,038	48	269
2017	마포구	염리동	699	274	4,050	2,192	1,858	542	1,154	110	2,261	17	418	30	217
2017	마포구	신수동	1,230	394	5,629	3,001	2,628	959	2,495	183	2,020	41	894	47	220
2017	마포구	서교동	9,686	3,230	60,482	30,075	30,407	6,566	20,532	2,879	37,333	157	2,287	84	330
2017	마포구	합정동	2,044	671	12,112	6,623	5,489	1,421	3,443	530	8,039	50	499	43	131
2017	마포구	망원1동	1,802	545	4,625	2,548	2,077	1,595	3,201	145	989	24	285	38	150
